src/chart/Chart.java:3:	Avoid unused imports such as 'java.io.IOException'
src/chart/Chart.java:5:	Avoid unused imports such as 'javax.servlet.http.HttpServletRequest'
src/chart/Chart.java:7:	Avoid unused imports such as 'crud.CRUDCore'
src/chart/Chart.java:8:	Avoid unused imports such as 'util.Response'
src/chart/Chart.java:10:	headerCommentRequirement Required
src/chart/Chart.java:12:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chart/Chart.java:12:	fieldCommentRequirement Required
src/chart/Chart.java:13:	fieldCommentRequirement Required
src/chart/Chart.java:14:	fieldCommentRequirement Required
src/chart/Chart.java:16:	Document empty constructor
src/chart/Chart.java:16:	publicMethodCommentRequirement Required
src/chart/Chart.java:20:	Consider using varargs for methods or constructors which take an array the last parameter.
src/chart/Chart.java:20:	Parameter 'backGroundColors' is not assigned and could be declared final
src/chart/Chart.java:20:	Parameter 'data' is not assigned and could be declared final
src/chart/Chart.java:20:	Parameter 'labels' is not assigned and could be declared final
src/chart/Chart.java:20:	The user-supplied array 'backGroundColors' is stored directly.
src/chart/Chart.java:20:	The user-supplied array 'data' is stored directly.
src/chart/Chart.java:20:	The user-supplied array 'labels' is stored directly.
src/chart/Chart.java:20:	publicMethodCommentRequirement Required
src/chart/Chart.java:26:	publicMethodCommentRequirement Required
src/chart/Chart.java:27:	Returning 'labels' may expose an internal array.
src/chart/Chart.java:30:	Consider using varargs for methods or constructors which take an array the last parameter.
src/chart/Chart.java:30:	Parameter 'labels' is not assigned and could be declared final
src/chart/Chart.java:30:	The user-supplied array 'labels' is stored directly.
src/chart/Chart.java:30:	publicMethodCommentRequirement Required
src/chart/Chart.java:34:	publicMethodCommentRequirement Required
src/chart/Chart.java:35:	Returning 'backgroundColors' may expose an internal array.
src/chart/Chart.java:38:	Consider using varargs for methods or constructors which take an array the last parameter.
src/chart/Chart.java:38:	Parameter 'backgroundColors' is not assigned and could be declared final
src/chart/Chart.java:38:	The user-supplied array 'backgroundColors' is stored directly.
src/chart/Chart.java:38:	publicMethodCommentRequirement Required
src/chart/Chart.java:42:	publicMethodCommentRequirement Required
src/chart/Chart.java:43:	Returning 'data' may expose an internal array.
src/chart/Chart.java:46:	Consider using varargs for methods or constructors which take an array the last parameter.
src/chart/Chart.java:46:	Parameter 'data' is not assigned and could be declared final
src/chart/Chart.java:46:	The user-supplied array 'data' is stored directly.
src/chart/Chart.java:46:	publicMethodCommentRequirement Required
src/chart/PieChart.java:11:	Avoid unused imports such as 'pojo.StudentPOJO'
src/chart/PieChart.java:15:	Each class should declare at least one constructor
src/chart/PieChart.java:15:	headerCommentRequirement Required
src/chart/PieChart.java:18:	Parameter 'request' is not assigned and could be declared final
src/chart/PieChart.java:18:	publicMethodCommentRequirement Required
src/chart/PieChart.java:24:	Parameter 'request' is not assigned and could be declared final
src/chart/PieChart.java:24:	publicMethodCommentRequirement Required
src/chart/PieChart.java:26:	Local variable 'action' could be declared final
src/chart/PieChart.java:26:	Potential violation of Law of Demeter (method chain calls)
